Képesség;Gyenge / fejletlen;Átlagos;Fejlett / átlagon felüli
Gf – Folyékony intelligencia;"Nehezen old meg új, ismeretlen problémákat; elbizonytalanodik, ha nincs korábbi minta.";Képes logikusan gondolkodni és következtetni a legtöbb helyzetben.;Gyorsan átlát új helyzeteket, könnyedén felismeri az összefüggéseket és stratégiákat alkot.
Gc – Kristályosodott intelligencia;"Szegényes szókincs, nehezen fejez ki összetett gondolatokat; kevés háttértudással rendelkezik.";Megfelelő szókincs és általános műveltség, jól kommunikál hétköznapi témákban.;"Gazdag szókincs, széles körű tudás; pontos, árnyalt nyelvhasználat és érvelés."
Gkn – Témaspecifikus tudás;"Kevés elmélyült tudása van bármely területen; nehezen kapcsol össze információkat.";Van néhány terület, ahol megfelelő jártassággal bír.;Egy vagy több szakterületen kiemelkedő tudással és szakmai magabiztossággal rendelkezik.
Gq – Mennyiségi tudás;Nehezen érti meg a matematikai fogalmakat, gyakran hibázik számolásnál.;Megbízhatóan végzi a hétköznapi számításokat és érti az alapfogalmakat.;Kiemelkedő numerikus érzék, gyorsan átlát összetett mennyiségi problémákat.
Gsm – Rövid távú memória;Gyakran elfelejt utasításokat vagy információkat rövid időn belül.;Általában képes néhány lépéses információ megtartására.;Könnyedén tart fejben és manipulál több információt egyszerre.
Glr – Hosszú távú tárolás és visszahívás;"Nehezen idéz fel korábban tanultakat; lassan tanul új dolgokat.";Képes új ismeretek elsajátítására, de idővel gyakorlatra van szüksége.;Gyorsan tanul, könnyen felidézi régi információit, kreatívan kapcsolja össze őket.
Gv – Látási feldolgozás;Nehezen értelmezi a térbeli viszonyokat, összezavarják a diagramok vagy térképek.;Képes eligazodni vizuális információk között, de néha lassan dolgozza fel őket.;Kiváló térlátása és vizuális képzelőereje van, gyorsan értelmez képeket, mintázatokat.
Ga – Hallási feldolgozás;Nehezen különböztet meg hasonló hangokat, rosszul követ szóban adott információt.;Képes megérteni és feldolgozni a legtöbb beszédet, átlagos hallási figyelemmel.;Finoman érzékeli a hangkülönbségeket, jól tanul hallás után, könnyen elsajátít nyelveket.
Grw – Olvasás–Írás;"Lassú olvasó, nehezen ért meg hosszabb szövegeket; hibázik helyesírásban.";Átlagos olvasási és írási készség, érti a hétköznapi szövegeket.;Gyors és pontos olvasó, világosan és helyesen fogalmaz írásban.
Gs – Feldolgozási sebesség;Lassú információfeldolgozás, gyakran nem fejez be időre feladatokat.;Átlagos tempóban dolgozik, megfelelő pontossággal.;Gyorsan és hatékonyan dolgozik, rövid idő alatt sok információt képes feldolgozni.
Gt – Reakció- és döntési sebesség;Lassan reagál ingerekre, bizonytalan döntéshozatalban.;Átlagos reakcióidő, kiegyensúlyozott döntési tempó.;Gyorsan és pontosan reagál, még időnyomás alatt is megbízhatóan dönt.
Gp – Pszichomotoros képességek;"Ügyetlen vagy lassú mozdulatok; nehéz számára a finommotorikus feladatok.";Átlagos kéz–szem koordináció és mozgási pontosság.;"Gyors, pontos és koordinált mozdulatok; kiemelkedő kézügyesség vagy sportteljesítmény."
